feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ephemeroptericola	hatchery	willamette	-0.517879358405014	0.625529323833657	40	6	0.413178759807172	0.782088366777862
Blautia	hatchery	south_santiam	0.473427820595568	0.570916609126757	40	23	0.412432487711567	0.782088366777862
Lachnoclostridium	hatchery	south_santiam	0.283017861005135	0.346688192833455	40	29	0.419670945818954	0.789676690949274
Methylobacterium	hatchery	sandy	-0.913236240309198	1.1353227641056	40	30	0.426455153409765	0.790555619674606
Deinococcus	hatchery	sandy	1.17106489277724	1.49164124713322	40	20	0.437540217178398	0.790555619674606
Agathobacter	hatchery	willamette	-0.33560541094603	0.413909019671223	40	35	0.42279763837024	0.790555619674606
Bifidobacterium	hatchery	south_santiam	-0.347281598416252	0.438240010833607	40	36	0.433291925313034	0.790555619674606
Knoellia	hatchery	willamette	0.645332757413006	0.81973448178187	40	5	0.436290343995882	0.790555619674606
Lautropia	hatchery	south_santiam	0.863918246936623	1.08657142371486	40	12	0.431774226579892	0.790555619674606
Mesomycoplasma	hatchery	south_santiam	-0.346471333017777	0.439736223300805	40	40	0.435908447287542	0.790555619674606
Massilia	hatchery	sandy	0.836256158711234	1.08214046426296	40	39	0.444697163727761	0.790580548130158
Cetobacterium	hatchery	sandy	-0.967732945698787	1.25314962590719	40	13	0.44501232111729	0.790580548130158
Sphingomonas	hatchery	sandy	-0.949943496714845	1.21936879837099	40	30	0.441044288227192	0.790580548130158
Curtobacterium	hatchery	willamette	0.724017228491193	0.945924170562135	40	9	0.449018273256489	0.793265616086464
Blastococcus	hatchery	sandy	0.842145758891093	1.11953586535984	40	7	0.456804688252754	0.802562932952352
Actinomyces	hatchery	sandy	0.659215066285783	0.885784726567907	40	9	0.461576314506556	0.806490483588378
Mesomycoplasma	hatchery	sandy	0.334729513685912	0.455170234342747	40	40	0.466863813307299	0.811271544435634
Oxalobacteraceae	hatchery	sandy	0.788941116651424	1.09097154274009	40	7	0.474257468928372	0.819640625647947
Anaerococcus	hatchery	south_santiam	0.780548438836968	1.09601088527339	40	10	0.4809484765192	0.820311298466959
Frondihabitans	hatchery	sandy	0.695057270722356	0.998000930640752	40	6	0.490619997186633	0.820311298466959
Curtobacterium	hatchery	sandy	-0.792926499433556	1.14184561577345	40	9	0.491873027166515	0.820311298466959
Citrobacter	hatchery	south_santiam	0.582918634097917	0.822676598334565	40	6	0.483158656184447	0.820311298466959
Cloacibacterium	hatchery	willamette	0.56064070995223	0.815631113946051	40	5	0.496254112149338	0.820311298466959
Undibacterium	hatchery	sandy	-0.65656872117261	0.963782358417612	40	8	0.500077604596573	0.820311298466959
Patulibacter	hatchery	sandy	0.644103707302537	0.94629318726985	40	10	0.500441483970409	0.820311298466959
Neisseria	hatchery	sandy	0.793043877544791	1.15870538585464	40	10	0.498091270553642	0.820311298466959
Ramlibacter	hatchery	sandy	-0.290965763787682	0.425871483625704	40	14	0.498838922169956	0.820311298466959
Chryseobacterium	hatchery	sandy	0.851405851674311	1.2255560531483	40	16	0.491696789706417	0.820311298466959
Micrococcus	hatchery	south_santiam	0.778393213032655	1.18284972566399	40	9	0.514682155990378	0.824881407434926
Luteolibacter	hatchery	sandy	-0.708310859269685	1.06457788016737	40	6	0.510070846225144	0.824881407434926
Pseudomonas	hatchery	sandy	0.851071878462949	1.29800072642778	40	37	0.51619937131934	0.824881407434926
Flavobacterium	hatchery	sandy	-0.795981620372162	1.21011196067515	40	23	0.514866888146017	0.824881407434926
Rathayibacter	hatchery	south_santiam	0.657925728784659	0.995417747038298	40	5	0.512849478555618	0.824881407434926
Frondihabitans	hatchery	south_santiam	0.605708828697162	0.964160498597521	40	6	0.533822695550755	0.83213537835853
Enterococcus	hatchery	sandy	0.688705994461748	1.06931576956682	40	28	0.523617594233782	0.83213537835853
Blastococcus	hatchery	south_santiam	0.692352226267155	1.08157440038671	40	7	0.526139171924694	0.83213537835853
Rothia	hatchery	sandy	0.692441594583295	1.09971300974359	40	11	0.532895353684174	0.83213537835853
Muribaculaceae	hatchery	sandy	0.174946660144759	0.276204058098745	40	40	0.530478501407272	0.83213537835853
Sphingomonas	hatchery	south_santiam	-0.725142176377042	1.17802217664949	40	30	0.542057922872794	0.840850826700236
Brevundimonas	hatchery	south_santiam	-0.506073524428176	0.950983523811923	40	7	0.597885787871766	0.8464379934463
Luteolibacter	hatchery	south_santiam	-0.586427033224456	1.02847994247767	40	6	0.572091817376192	0.8464379934463
Agathobacter	hatchery	south_santiam	0.289071535460365	0.482696716509095	40	35	0.553011078947088	0.8464379934463
Veillonella	hatchery	south_santiam	-0.603361648040708	1.14580138538525	40	17	0.601711634942518	0.8464379934463
Abiotrophia	hatchery	south_santiam	-0.552252614736985	1.00346235493355	40	7	0.585480284204526	0.8464379934463
Thermus	hatchery	sandy	-0.765775741260514	1.469269625252	40	12	0.605422646483461	0.8464379934463
Thermus	hatchery	willamette	-0.710083815793902	1.21716774351953	40	12	0.563267931666278	0.8464379934463
Tetragenococcus	hatchery	south_santiam	-0.646476826267296	1.1764889281849	40	37	0.586057485988128	0.8464379934463
Bifidobacterium	hatchery	willamette	-0.210750061861651	0.375787709054007	40	36	0.578392972290378	0.8464379934463
Segatella	hatchery	south_santiam	0.162754642929627	0.307484871919466	40	38	0.599839841376238	0.8464379934463
Marisediminicola	hatchery	willamette	0.492324810962968	0.828309008774144	40	5	0.555979672684982	0.8464379934463
Clostridium	hatchery	sandy	0.324387794802667	0.565592503472802	40	37	0.569847572546542	0.8464379934463
Peptoniphilus	hatchery	sandy	-0.497608323152104	0.972133810963466	40	5	0.611866319783658	0.8464379934463
Peptoniphilus	hatchery	south_santiam	-0.49832815373334	0.939170486825366	40	5	0.598951042666806	0.8464379934463
Carnobacterium	hatchery	south_santiam	0.548839346885905	1.04543948694508	40	37	0.602812472822387	0.8464379934463
Methylorubrum	hatchery	south_santiam	-0.397278701411566	0.687442799341399	40	32	0.56692377885174	0.8464379934463
Comamonadaceae	hatchery	sandy	0.581916843400411	1.12580140711632	40	7	0.608393338724016	0.8464379934463
Comamonadaceae	hatchery	south_santiam	-0.577994042541122	1.08762748879419	40	7	0.598387328356759	0.8464379934463
Nakamurella	hatchery	sandy	0.493857379643454	0.969399893603968	40	5	0.613548149969618	0.8464379934463
Nakamurella	hatchery	south_santiam	0.504342551670121	0.936529271728737	40	5	0.593530545708218	0.8464379934463
