genus_label,Domain,Phylum,Class,Order,Family,Genus
Alkanindiges,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges
Enterococcus,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Alistipes,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Sphingomonas,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Nocardioides,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
Cellvibrionaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,NA
Arthrobacter,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
Gemmatimonas,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Plesiomonas,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas
Knoellia,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Intrasporangiaceae,Knoellia
Comamonadaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
Legionella,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Terrabacter,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter
Dolosigranulum,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum
Rhizobiaceae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA
Leucobacter,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter
Corynebacterium,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Blastococcus,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus
Chroococcidiopsis SAG 2023,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Chroococcidiopsis SAG 2023
Caldicellulosiruptor,Bacteria,Bacillota,Thermoanaerobacteria,Caldicellulosiruptorales,Caldicellulosiraptoraceae,Caldicellulosiruptor
Undibacterium,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium
Kocuria,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
Bacillus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Blautia,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Nakamurella,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella
Intrasporangiaceae,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
Acinetobacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Gemmiger,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger
Lautropia,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
Rhodoferax,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
Limnohabitans,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
Shewanella,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella
Amaricoccus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Amaricoccus
Comamonas,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
Lactococcus,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Patulibacter,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Patulibacter
Escherichia-Shigella,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella
Bradyrhizobium,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Bradyrhizobium
Rothia,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
Muribaculaceae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA
Turicibacter,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Propionivibrio,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Propionivibrio
Macrococcus,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Macrococcus
Enhydrobacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter
Aggregatibacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Aggregatibacter
Dubosiella,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dubosiella
Aliterella,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Aliterella
Microbacteriaceae,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,NA
Janthinobacterium,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium
Neisseria,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
Brachybacterium,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
Ramlibacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
Paracoccus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus
Ralstonia,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
Faecalibacterium,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium
Iodobacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Iodobacter
Lichenibacterium,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Lichenibacterium
Roseburia,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Chryseobacterium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
Mesomycoplasma,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mesomycoplasma
Marmoricola,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola
